Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0330145,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0306087,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333058,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076668,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0330679,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333013,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0300889,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073422,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0308621,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339974,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332836,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0072506,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301143,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085252,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339629,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332589,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0336659,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0112808,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333852,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344967,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0113386,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0347200,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301501,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332604,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0082057,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087870,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339418,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339696,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0343517,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301212,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0091719,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0306576,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0340125,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085307,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0303046,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334078,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301337,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0072393,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087390,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0332862,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0343633,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0332726,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0273385,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344824,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0079708,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0076218,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0336736,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344277,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0078384,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112501,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0333671,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0308827,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0290281,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100643,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0082183,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087308,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087307,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0071835,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0085126,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0301000,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0070393,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0334762,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0334279,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0336467,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0290320,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0077560,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0085377,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0072967,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112885,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0089963,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0339643,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0307016,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0072722,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0300190,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0305668,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0333119,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0074916,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0080838,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0078811,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0085755,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0308638,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0073187,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0083252,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0302323,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112920,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0273370,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0088370,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0086530,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344438,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112851,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0333662,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0081008,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0089937,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0083613,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087004,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100375,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0334585,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100457,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0089484,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0345036,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0308034,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0088902,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0310647,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100352,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087621,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0304053,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0070725,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0301450,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112532,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0303756,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0070457,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0306255,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0085323,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0075753,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0333020,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0075297,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0089877,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0075927,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0111030,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0302692,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0111028,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0111029,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0302694,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0081504,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0081527,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087257,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344230,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0302645,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330263,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0345896,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0085094,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0334309,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344403,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0082139,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0303787,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0310055,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0112878,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0446106,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0307520,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0336616,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0339755,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0344439,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0343418,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0308065,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0301403,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0306244,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100595,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0300265,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087295,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0302938,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0084212,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0306107,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330159,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0339081,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0084447,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087533,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330730,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0345071,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0072087,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0304621,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330331,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0087789,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0290019,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330269,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0332529,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0073615,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0330118,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0100656,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0074715,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0079077,,,,,,,,,
Sailfish,DESeq2,Down,FBtr0300599,,,,,,,,,
